t,PWM,SPEED
0.000,0.000,0.000
0.050,0.000,0.000
0.100,0.000,0.000
0.150,0.000,0.000
0.200,0.000,0.000
0.250,0.000,0.000
0.300,0.000,0.000
0.350,0.000,0.000
0.400,0.000,0.000
0.450,0.000,0.000
0.500,0.000,0.000
0.550,63.000,11.430
0.600,63.000,17.140
0.650,63.000,20.000
0.700,63.000,17.140
0.750,63.000,17.140
0.800,63.000,20.000
0.850,63.000,17.140
0.900,63.000,17.140
0.950,63.000,17.140
1.000,63.000,20.000
1.050,63.000,17.140
1.100,0.000,5.710
1.150,0.000,0.000
1.200,0.000,0.000
1.250,0.000,0.000
1.300,0.000,0.000
1.350,0.000,0.000
1.400,0.000,0.000
1.450,0.000,0.000
1.500,0.000,0.000
1.550,0.000,0.000
1.600,0.000,0.000
1.650,63.000,11.430
1.700,63.000,17.140
1.750,63.000,20.000
1.800,63.000,17.140
1.850,63.000,20.000
1.900,63.000,20.000
1.950,63.000,17.140
2.000,63.000,20.000
2.050,63.000,20.000
2.100,63.000,20.000
2.150,63.000,20.000
2.200,0.000,2.860
2.250,0.000,0.000
2.300,0.000,0.000
2.350,0.000,0.000
2.400,0.000,0.000
2.450,0.000,0.000
2.500,0.000,0.000
2.550,0.000,0.000
2.600,0.000,0.000
2.650,0.000,0.000
2.700,0.000,0.000
2.750,63.000,11.430
2.800,63.000,20.000
2.850,63.000,20.000
2.900,63.000,17.140
2.950,63.000,20.000
3.000,63.000,17.140
3.050,63.000,20.000
3.100,63.000,17.140
3.150,63.000,14.290
3.200,63.000,17.140
3.250,63.000,17.140
3.300,0.000,5.710
3.350,0.000,0.000
3.400,0.000,0.000
3.450,0.000,0.000
3.500,0.000,0.000
3.550,0.000,0.000
3.600,0.000,0.000
3.650,0.000,0.000
3.700,0.000,0.000
3.750,0.000,0.000
3.800,0.000,0.000
3.850,63.000,8.570
3.900,63.000,17.140
3.950,63.000,14.290
4.000,63.000,17.140
4.050,63.000,17.140
4.100,63.000,20.000
4.150,63.000,17.140
4.200,63.000,17.140
4.250,63.000,20.000
4.300,63.000,17.140
