t,PWM,SPEED
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.05,0,0
0.1,0,0
0.15,0,0
0.2,0,0
0.25,0,0
0.3,0,0
0.35,0,0
0.4,0,0
0.45,0,0
0.5,0,0
0.55,63,11.43
0.6,63,17.14
0.65,63,20
0.7,63,17.14
0.75,63,17.14
0.8,63,20
0.85,63,17.14
0.9,63,17.14
0.95,63,17.14
1,63,20
1.05,63,17.14
1.1,0,5.71
1.15,0,0
1.2,0,0
1.25,0,0
1.3,0,0
1.35,0,0
1.4,0,0
1.45,0,0
1.5,0,0
1.55,0,0
1.6,0,0
1.65,63,11.43
1.7,63,17.14
1.75,63,20
1.8,63,17.14
1.85,63,20
1.9,63,20
1.95,63,17.14
2,63,20
2.05,63,20
2.1,63,20
2.15,63,20
2.2,0,2.86
2.25,0,0
2.3,0,0
2.35,0,0
2.4,0,0
2.45,0,0
2.5,0,0
2.55,0,0
2.6,0,0
2.65,0,0
2.7,0,0
2.75,63,11.43
2.8,63,20
2.85,63,20
2.9,63,17.14
2.95,63,20
3,63,17.14
3.05,63,20
3.1,63,17.14
3.15,63,14.29
3.2,63,17.14
3.25,63,17.14
