t,PWM,SPEED
0.000,0.000,0.000
0.100,0.000,0.000
0.200,0.000,0.000
0.300,0.000,0.000
0.400,0.000,0.000
0.500,0.000,0.000
0.600,0.000,0.000
0.700,0.000,0.000
0.800,0.000,0.000
0.900,0.000,0.000
1.000,0.000,0.000
1.100,0.000,0.000
1.200,50.000,0.000
1.300,50.000,2.140
1.400,50.000,4.290
1.500,50.000,6.430
1.600,50.000,6.430
1.700,50.000,8.570
1.800,50.000,8.570
1.900,50.000,10.710
2.000,50.000,10.710
2.100,0.000,8.570
2.200,0.000,8.570
2.300,0.000,8.570
2.400,0.000,4.290
2.500,0.000,6.430
2.600,0.000,4.290
2.700,0.000,2.140
2.800,0.000,4.290
2.900,0.000,2.140
3.000,0.000,2.140
3.100,0.000,2.140
3.200,0.000,0.000
3.300,0.000,2.140
3.400,0.000,0.000
3.500,0.000,2.140
3.600,0.000,0.000
3.700,0.000,2.140
3.800,0.000,0.000
3.900,0.000,0.000
4.000,0.000,0.000
4.100,0.000,0.000
4.200,150.000,4.290
4.300,150.000,8.570
4.400,150.000,15.000
4.500,150.000,17.140
4.600,150.000,21.430
4.700,150.000,25.710
4.800,150.000,27.860
4.900,150.000,30.000
5.000,150.000,32.140
5.100,150.000,32.140
5.200,150.000,34.290
5.300,150.000,36.430
5.400,150.000,36.430
5.500,150.000,36.430
5.600,150.000,38.570
5.700,150.000,38.570
5.800,150.000,38.570
5.900,150.000,38.570
6.000,150.000,38.570
6.100,150.000,40.710
6.200,150.000,40.710
6.300,0.000,36.430
6.400,0.000,32.140
6.500,0.000,25.710
6.600,0.000,21.430
6.700,0.000,19.290
6.800,0.000,17.140
6.900,0.000,12.860
7.000,0.000,10.710
7.100,0.000,8.570
7.200,0.000,8.570
7.300,0.000,6.430
7.400,0.000,6.430
7.500,0.000,4.290
7.600,0.000,4.290
7.700,0.000,2.140
7.800,0.000,4.290
7.900,0.000,2.140
8.000,0.000,2.140
8.100,0.000,0.000
8.200,0.000,2.140
8.300,0.000,2.140
8.400,150.000,2.140
8.500,150.000,10.710
8.600,150.000,15.000
8.700,150.000,17.140
8.800,150.000,23.570
8.900,150.000,25.710
9.000,150.000,27.860
9.100,150.000,30.000
9.200,150.000,32.140
9.300,150.000,32.140
9.400,150.000,34.290
9.500,150.000,36.430
9.600,150.000,36.430
9.700,150.000,36.430
9.800,150.000,38.570
9.900,150.000,38.570
10.000,150.000,38.570
10.100,150.000,38.570
10.200,150.000,40.710
10.300,150.000,38.570
10.400,150.000,40.710
10.500,0.000,36.430
10.600,0.000,32.140
10.700,0.000,25.710
10.800,0.000,23.570
10.900,0.000,17.140
11.000,0.000,17.140
11.100,0.000,12.860
11.200,0.000,10.710
11.300,0.000,10.710
11.400,0.000,6.430
11.500,0.000,6.430
11.600,0.000,6.430
11.700,0.000,4.290
11.800,0.000,4.290
11.900,0.000,4.290
12.000,0.000,2.140
12.100,0.000,2.140
12.200,0.000,2.140
12.300,0.000,2.140
12.400,0.000,0.000
12.500,0.000,2.140
12.600,150.000,4.290
12.700,150.000,8.570
12.800,150.000,15.000
12.900,150.000,19.290
13.000,150.000,21.430
13.100,150.000,25.710
13.200,150.000,27.860
13.300,150.000,30.000
13.400,150.000,32.140
13.500,150.000,32.140
13.600,150.000,36.430
13.700,150.000,34.290
13.800,150.000,36.430
13.900,150.000,38.570
14.000,150.000,36.430
14.100,150.000,38.570
14.200,150.000,38.570
14.300,150.000,40.710
14.400,150.000,38.570
14.500,150.000,40.710
14.600,150.000,38.570
14.700,0.000,38.570
14.800,0.000,30.000
14.900,0.000,27.860
15.000,0.000,21.430
15.100,0.000,19.290
15.200,0.000,15.000
15.300,0.000,12.860
15.400,0.000,12.860
15.500,0.000,8.570
15.600,0.000,8.570
15.700,0.000,6.430
15.800,0.000,4.290
15.900,0.000,6.430
16.000,0.000,2.140
16.100,0.000,4.290
16.200,0.000,2.140
16.300,0.000,2.140
16.400,0.000,2.140
16.500,0.000,2.140
16.600,0.000,2.140
16.700,0.000,0.000
16.800,150.000,4.290
16.900,150.000,10.710
17.000,150.000,12.860
17.100,150.000,19.290
17.200,150.000,23.570
17.300,150.000,25.710
17.400,150.000,27.860
17.500,150.000,30.000
17.600,150.000,32.140
17.700,150.000,32.140
17.800,150.000,34.290
17.900,150.000,36.430
18.000,150.000,36.430
18.100,150.000,36.430
18.200,150.000,38.570
18.300,150.000,38.570
18.400,150.000,38.570
18.500,150.000,38.570
18.600,150.000,40.710
18.700,150.000,38.570
18.800,150.000,40.710
18.900,0.000,36.430
19.000,0.000,32.140
19.100,0.000,25.710
19.200,0.000,23.570
19.300,0.000,19.290
19.400,0.000,15.000
19.500,0.000,12.860
19.600,0.000,10.710
19.700,0.000,10.710
19.800,0.000,6.430
19.900,0.000,6.430
20.000,0.000,6.430
20.100,0.000,4.290
20.200,0.000,4.290
20.300,0.000,4.290
20.400,0.000,2.140
20.500,0.000,2.140
20.600,0.000,2.140
20.700,0.000,2.140
20.800,0.000,0.000
20.900,0.000,2.140
21.000,150.000,4.290
21.100,150.000,8.570
21.200,150.000,15.000
21.300,150.000,19.290
21.400,150.000,23.570
21.500,150.000,23.570
21.600,150.000,27.860
21.700,150.000,30.000
21.800,150.000,32.140
21.900,150.000,34.290
22.000,150.000,34.290
