t,PWM,SPEED
2.600,0.000,12.860
2.650,0.000,0.000
2.700,0.000,0.000
2.750,150.000,4.290
2.800,150.000,4.290
2.850,150.000,8.570
2.900,150.000,8.570
2.950,150.000,12.860
3.000,150.000,12.860
3.050,150.000,21.430
3.100,150.000,17.140
3.150,150.000,21.430
3.200,150.000,21.430
3.250,150.000,25.710
3.300,0.000,25.710
3.350,0.000,21.430
3.400,0.000,21.430
3.450,0.000,17.140
3.500,0.000,17.140
3.550,0.000,17.140
3.600,0.000,12.860
3.650,0.000,12.860
3.700,0.000,12.860
3.750,0.000,12.860
3.800,0.000,8.570
3.850,150.000,12.860
3.900,150.000,12.860
3.950,150.000,17.140
4.000,150.000,17.140
4.050,200.000,17.140
4.100,200.000,21.430
4.150,200.000,25.710
4.200,200.000,25.710
4.250,200.000,30.000
4.300,200.000,34.290
4.350,200.000,30.000
4.400,0.000,34.290
4.450,0.000,34.290
4.500,0.000,25.710
4.550,0.000,25.710
4.600,0.000,25.710
4.650,0.000,21.430
4.700,0.000,21.430
4.750,0.000,17.140
4.800,0.000,17.140
4.850,0.000,12.860
4.900,0.000,17.140
4.950,150.000,12.860
5.000,150.000,17.140
5.050,150.000,17.140
5.100,150.000,21.430
5.150,150.000,21.430
5.200,150.000,25.710
5.250,150.000,25.710
5.300,150.000,25.710
5.350,150.000,25.710
5.400,150.000,30.000
5.450,150.000,30.000
5.500,0.000,30.000
5.550,0.000,25.710
5.600,0.000,25.710
5.650,0.000,21.430
5.700,0.000,21.430
5.750,0.000,21.430
5.800,0.000,17.140
5.850,0.000,17.140
5.900,0.000,12.860
5.950,0.000,12.860
6.000,0.000,12.860
6.050,150.000,12.860
6.100,150.000,17.140
6.150,150.000,12.860
6.200,150.000,21.430
6.250,150.000,21.430
6.300,150.000,21.430
6.350,150.000,25.710
6.400,150.000,25.710
6.450,150.000,25.710
6.500,150.000,25.710
6.550,150.000,30.000
6.600,0.000,30.000
6.650,0.000,25.710
6.700,0.000,25.710
6.750,0.000,21.430
6.800,0.000,21.430
6.850,0.000,17.140
6.900,0.000,17.140
6.950,0.000,17.140
7.000,0.000,12.860
7.050,0.000,12.860
7.100,0.000,12.860
7.150,150.000,12.860
7.200,150.000,17.140
7.250,150.000,17.140
7.300,150.000,17.140
7.350,150.000,21.430
7.400,150.000,21.430
7.450,150.000,25.710
7.500,150.000,25.710
7.550,150.000,25.710
7.600,150.000,25.710
7.650,150.000,30.000
7.700,0.000,30.000
7.750,0.000,25.710
7.800,0.000,25.710
7.850,0.000,21.430
7.900,0.000,21.430
7.950,0.000,17.140
8.000,0.000,17.140
8.050,0.000,17.140
8.100,0.000,12.860
8.150,0.000,12.860
8.200,0.000,12.860
8.250,150.000,12.860
8.300,150.000,12.860
8.350,150.000,17.140
8.400,150.000,21.430
8.450,150.000,17.140
8.500,150.000,25.710
8.550,150.000,21.430
8.600,150.000,25.710
8.650,150.000,25.710
8.700,150.000,30.000
8.750,150.000,30.000
8.800,0.000,25.710
8.850,0.000,30.000
8.900,0.000,21.430
8.950,0.000,25.710
9.000,0.000,17.140
9.050,0.000,21.430
9.100,0.000,17.140
9.150,0.000,12.860
9.200,0.000,17.140
9.250,0.000,12.860
9.300,0.000,12.860
9.350,150.000,12.860
9.400,150.000,12.860
9.450,150.000,17.140
9.500,150.000,17.140
9.550,150.000,21.430
9.600,150.000,25.710
9.650,150.000,21.430
9.700,150.000,25.710
9.750,150.000,25.710
9.800,150.000,30.000
9.850,150.000,30.000
9.900,0.000,25.710
9.950,0.000,25.710
10.000,0.000,25.710
10.050,0.000,21.430
10.100,0.000,21.430
10.150,0.000,21.430
10.200,0.000,17.140
10.250,0.000,12.860
10.300,0.000,17.140
10.350,0.000,12.860
10.400,0.000,12.860
10.450,150.000,8.570
10.500,150.000,17.140
10.550,150.000,17.140
10.600,150.000,17.140
10.650,150.000,21.430
10.700,150.000,21.430
10.750,150.000,25.710
10.800,150.000,25.710
10.850,150.000,25.710
10.900,150.000,30.000
10.950,150.000,25.710
11.000,0.000,30.000
11.050,0.000,25.710
11.100,0.000,25.710
11.150,0.000,21.430
11.200,0.000,21.430
11.250,0.000,17.140
11.300,0.000,17.140
11.350,0.000,17.140
11.400,0.000,12.860
11.450,0.000,17.140
11.500,0.000,8.570
11.550,150.000,12.860
11.600,150.000,17.140
11.650,150.000,17.140
11.700,150.000,17.140
11.750,150.000,21.430
11.800,150.000,21.430
11.850,150.000,25.710
11.900,150.000,25.710
11.950,150.000,25.710
12.000,150.000,25.710
12.050,150.000,30.000
12.100,0.000,30.000
12.150,0.000,25.710
12.200,0.000,25.710
12.250,0.000,21.430
12.300,0.000,21.430
12.350,0.000,17.140
12.400,0.000,17.140
12.450,0.000,17.140
12.500,0.000,12.860
12.550,0.000,12.860
12.600,0.000,12.860
12.650,150.000,12.860
12.700,150.000,12.860
12.750,150.000,17.140
12.800,150.000,21.430
