t,PWM,SPEED
0.000,0.000,0.000
0.100,0.000,0.000
0.200,0.000,0.000
0.300,0.000,0.000
0.400,0.000,0.000
0.500,0.000,0.000
0.600,0.000,0.000
0.700,0.000,0.000
0.800,0.000,0.000
0.900,0.000,0.000
1.000,0.000,0.000
1.100,0.000,0.000
1.200,0.000,0.000
1.300,0.000,0.000
1.400,0.000,0.000
1.500,0.000,0.000
1.600,0.000,0.000
1.700,0.000,0.000
1.800,0.000,0.000
1.900,0.000,0.000
2.000,0.000,0.000
2.100,0.000,0.000
2.200,0.000,0.000
2.300,0.000,0.000
2.400,0.000,0.000
2.500,0.000,0.000
2.600,0.000,0.000
2.700,0.000,0.000
2.800,0.000,0.000
2.900,0.000,0.000
3.000,0.000,0.000
3.100,0.000,0.000
3.200,0.000,0.000
3.300,0.000,0.000
3.400,0.000,0.000
3.500,0.000,0.000
3.600,0.000,0.000
3.700,0.000,0.000
3.800,0.000,0.000
3.900,0.000,0.000
4.000,0.000,0.000
4.100,0.000,0.000
4.200,0.000,0.000
4.300,0.000,0.000
4.400,0.000,0.000
4.500,0.000,0.000
4.600,0.000,0.000
4.700,0.000,0.000
4.800,0.000,0.000
4.900,0.000,0.000
5.000,0.000,0.000
5.100,150.000,0.000
5.200,150.000,6.000
5.300,150.000,9.000
5.400,150.000,9.000
5.500,150.000,15.000
5.600,150.000,18.000
5.700,150.000,18.000
5.800,150.000,21.000
5.900,150.000,27.000
6.000,150.000,27.000
6.100,150.000,27.000
6.200,150.000,33.000
6.300,150.000,33.000
6.400,150.000,36.000
6.500,150.000,39.000
6.600,150.000,39.000
6.700,150.000,42.000
6.800,150.000,42.000
6.900,150.000,45.000
7.000,150.000,45.000
7.100,150.000,48.000
7.200,150.000,51.000
7.300,150.000,51.000
7.400,150.000,51.000
7.500,150.000,54.000
7.600,150.000,54.000
7.700,150.000,57.000
7.800,150.000,57.000
7.900,150.000,57.000
8.000,150.000,60.000
8.100,150.000,60.000
8.200,150.000,60.000
8.300,150.000,63.000
8.400,150.000,63.000
8.500,150.000,63.000
8.600,150.000,66.000
8.700,150.000,66.000
8.800,150.000,66.000
8.900,150.000,66.000
9.000,150.000,69.000
9.100,150.000,69.000
9.200,150.000,69.000
9.300,150.000,69.000
9.400,150.000,72.000
9.500,150.000,69.000
9.600,150.000,72.000
9.700,150.000,72.000
9.800,150.000,72.000
9.900,150.000,75.000
10.000,150.000,72.000
10.100,150.000,75.000
10.200,0.000,72.000
10.300,0.000,72.000
10.400,0.000,66.000
10.500,0.000,66.000
10.600,0.000,60.000
10.700,0.000,60.000
10.800,0.000,57.000
10.900,0.000,57.000
11.000,0.000,51.000
11.100,0.000,51.000
11.200,0.000,48.000
11.300,0.000,48.000
11.400,0.000,45.000
11.500,0.000,42.000
11.600,0.000,42.000
11.700,0.000,39.000
11.800,0.000,39.000
11.900,0.000,36.000
12.000,0.000,36.000
12.100,0.000,33.000
12.200,0.000,33.000
12.300,0.000,30.000
12.400,0.000,30.000
12.500,0.000,30.000
12.600,0.000,27.000
12.700,0.000,27.000
12.800,0.000,24.000
12.900,0.000,24.000
13.000,0.000,24.000
13.100,0.000,21.000
13.200,0.000,24.000
13.300,0.000,21.000
13.400,0.000,18.000
13.500,0.000,21.000
13.600,0.000,18.000
13.700,0.000,18.000
13.800,0.000,15.000
13.900,0.000,18.000
14.000,0.000,15.000
14.100,0.000,15.000
14.200,0.000,15.000
14.300,0.000,12.000
14.400,0.000,15.000
14.500,0.000,12.000
14.600,0.000,12.000
14.700,0.000,12.000
14.800,0.000,9.000
14.900,0.000,12.000
15.000,0.000,12.000
15.100,0.000,9.000
15.200,0.000,9.000
15.300,150.000,12.000
15.400,150.000,12.000
15.500,150.000,18.000
15.600,150.000,18.000
15.700,150.000,21.000
15.800,150.000,24.000
15.900,150.000,27.000
16.000,150.000,30.000
16.100,150.000,30.000
16.200,150.000,33.000
16.300,150.000,36.000
16.400,150.000,39.000
16.500,150.000,39.000
16.600,150.000,39.000
16.700,150.000,45.000
16.800,150.000,45.000
16.900,150.000,45.000
17.000,150.000,48.000
17.100,150.000,48.000
17.200,150.000,51.000
17.300,150.000,51.000
17.400,150.000,54.000
17.500,150.000,54.000
17.600,150.000,57.000
17.700,150.000,57.000
17.800,150.000,57.000
17.900,150.000,60.000
18.000,150.000,60.000
18.100,150.000,60.000
18.200,150.000,63.000
18.300,150.000,63.000
18.400,150.000,63.000
18.500,150.000,66.000
18.600,150.000,66.000
18.700,150.000,66.000
18.800,150.000,66.000
18.900,150.000,69.000
19.000,150.000,69.000
19.100,150.000,69.000
19.200,150.000,69.000
19.300,150.000,69.000
19.400,150.000,72.000
19.500,150.000,72.000
19.600,150.000,72.000
19.700,150.000,72.000
19.800,150.000,72.000
19.900,150.000,75.000
20.000,150.000,72.000
20.100,150.000,75.000
20.200,150.000,75.000
20.300,150.000,75.000
20.400,0.000,75.000
20.500,0.000,72.000
20.600,0.000,66.000
20.700,0.000,66.000
20.800,0.000,63.000
20.900,0.000,63.000
21.000,0.000,57.000
21.100,0.000,54.000
21.200,0.000,54.000
21.300,0.000,51.000
21.400,0.000,51.000
21.500,0.000,48.000
21.600,0.000,45.000
21.700,0.000,45.000
21.800,0.000,42.000
21.900,0.000,39.000
22.000,0.000,39.000
22.100,0.000,36.000
22.200,0.000,36.000
22.300,0.000,36.000
22.400,0.000,33.000
22.500,0.000,30.000
22.600,0.000,30.000
22.700,0.000,30.000
22.800,0.000,27.000
22.900,0.000,27.000
23.000,0.000,27.000
23.100,0.000,24.000
23.200,0.000,24.000
23.300,0.000,24.000
23.400,0.000,21.000
23.500,0.000,21.000
23.600,0.000,21.000
23.700,0.000,18.000
23.800,0.000,18.000
23.900,0.000,18.000
24.000,0.000,18.000
24.100,0.000,15.000
24.200,0.000,18.000
24.300,0.000,15.000
24.400,0.000,15.000
24.500,0.000,12.000
24.600,0.000,15.000
24.700,0.000,12.000
24.800,0.000,12.000
24.900,0.000,12.000
25.000,0.000,12.000
25.100,0.000,12.000
25.200,0.000,9.000
25.300,0.000,12.000
25.400,0.000,9.000
25.500,150.000,9.000
25.600,150.000,15.000
25.700,150.000,15.000
25.800,150.000,21.000
25.900,150.000,21.000
26.000,150.000,24.000
26.100,150.000,27.000
26.200,150.000,30.000
26.300,150.000,30.000
26.400,150.000,33.000
26.500,150.000,36.000
26.600,150.000,39.000
26.700,150.000,39.000
26.800,150.000,42.000
26.900,150.000,42.000
27.000,150.000,45.000
27.100,150.000,45.000
27.200,150.000,48.000
27.300,150.000,51.000
27.400,150.000,48.000
27.500,150.000,54.000
27.600,150.000,54.000
27.700,150.000,54.000
27.800,150.000,54.000
27.900,150.000,57.000
28.000,150.000,60.000
28.100,150.000,57.000
28.200,150.000,63.000
28.300,150.000,60.000
28.400,150.000,63.000
28.500,150.000,63.000
28.600,150.000,63.000
28.700,150.000,66.000
28.800,150.000,63.000
28.900,150.000,66.000
29.000,150.000,69.000
29.100,150.000,66.000
29.200,150.000,69.000
29.300,150.000,69.000
29.400,150.000,72.000
29.500,150.000,69.000
29.600,150.000,72.000
29.700,150.000,69.000
29.800,150.000,72.000
29.900,150.000,75.000
30.000,150.000,72.000
30.100,150.000,72.000
30.200,150.000,75.000
30.300,150.000,75.000
30.400,150.000,75.000
30.500,150.000,75.000
30.600,0.000,75.000
30.700,0.000,69.000
30.800,0.000,69.000
30.900,0.000,66.000
31.000,0.000,63.000
31.100,0.000,60.000
31.200,0.000,60.000
31.300,0.000,54.000
31.400,0.000,54.000
31.500,0.000,51.000
31.600,0.000,51.000
31.700,0.000,48.000
31.800,0.000,45.000
31.900,0.000,42.000
32.000,0.000,42.000
32.100,0.000,42.000
32.200,0.000,39.000
32.300,0.000,36.000
32.400,0.000,36.000
32.500,0.000,33.000
32.600,0.000,33.000
32.700,0.000,33.000
32.800,0.000,30.000
32.900,0.000,30.000
33.000,0.000,27.000
33.100,0.000,27.000
33.200,0.000,27.000
33.300,0.000,24.000
33.400,0.000,24.000
33.500,0.000,21.000
33.600,0.000,24.000
33.700,0.000,21.000
33.800,0.000,18.000
33.900,0.000,21.000
34.000,0.000,18.000
34.100,0.000,18.000
34.200,0.000,18.000
34.300,0.000,15.000
34.400,0.000,18.000
34.500,0.000,15.000
34.600,0.000,12.000
34.700,0.000,15.000
34.800,0.000,15.000
34.900,0.000,12.000
35.000,0.000,12.000
35.100,0.000,12.000
35.200,0.000,12.000
35.300,0.000,9.000
35.400,0.000,12.000
35.500,0.000,9.000
35.600,0.000,12.000
35.700,150.000,9.000
35.800,150.000,15.000
35.900,150.000,15.000
36.000,150.000,21.000
36.100,150.000,21.000
36.200,150.000,24.000
36.300,150.000,27.000
36.400,150.000,30.000
36.500,150.000,30.000
36.600,150.000,33.000
36.700,150.000,36.000
36.800,150.000,39.000
36.900,150.000,39.000
37.000,150.000,42.000
37.100,150.000,42.000
37.200,150.000,45.000
37.300,150.000,45.000
37.400,150.000,48.000
37.500,150.000,48.000
37.600,150.000,51.000
37.700,150.000,54.000
37.800,150.000,54.000
37.900,150.000,54.000
38.000,150.000,54.000
38.100,150.000,57.000
38.200,150.000,60.000
38.300,150.000,57.000
38.400,150.000,60.000
38.500,150.000,63.000
38.600,150.000,63.000
38.700,150.000,63.000
38.800,150.000,63.000
38.900,150.000,63.000
39.000,150.000,66.000
