t,PWM,SPEED
0.050,0.000,0.000
0.100,0.000,0.000
0.150,0.000,0.000
0.200,0.000,0.000
0.250,0.000,0.000
0.300,0.000,0.000
0.350,0.000,0.000
0.400,0.000,0.000
0.450,0.000,0.000
0.500,0.000,0.000
0.550,150.000,0.000
0.600,150.000,0.000
0.650,150.000,0.000
0.700,150.000,0.000
0.750,150.000,0.000
0.800,150.000,0.000
0.850,150.000,0.000
0.900,150.000,0.000
0.950,150.000,0.000
1.000,150.000,0.000
1.050,150.000,0.000
1.100,0.000,0.000
1.150,0.000,0.000
1.200,0.000,0.000
1.250,0.000,0.000
1.300,0.000,0.000
1.350,0.000,0.000
1.400,0.000,0.000
1.450,0.000,0.000
1.500,0.000,0.000
1.550,0.000,0.000
1.600,0.000,0.000
1.650,150.000,0.000
1.700,150.000,0.000
1.750,150.000,0.000
1.800,150.000,0.000
1.850,150.000,0.000
1.900,150.000,0.000
1.950,150.000,0.000
2.000,150.000,0.000
2.050,150.000,0.000
2.100,150.000,0.000
2.150,150.000,0.000
2.200,0.000,0.000
2.250,0.000,0.000
2.300,0.000,0.000
2.350,0.000,0.000
2.400,0.000,0.000
2.450,0.000,0.000
2.500,0.000,0.000
2.550,0.000,0.000
2.600,0.000,0.000
2.650,0.000,0.000
2.700,0.000,0.000
2.750,150.000,0.000
2.800,150.000,0.000
2.850,150.000,0.000
2.900,150.000,0.000
2.950,150.000,0.000
3.000,150.000,0.000
3.050,150.000,0.000
3.100,150.000,0.000
3.150,150.000,0.000
3.200,150.000,0.000
3.250,150.000,0.000
3.300,0.000,0.000
3.350,0.000,0.000
3.400,0.000,0.000
3.450,0.000,0.000
3.500,0.000,0.000
3.550,0.000,0.000
3.600,0.000,0.000
3.650,0.000,0.000
3.700,0.000,0.000
3.750,0.000,0.000
3.800,0.000,0.000
3.850,150.000,0.000
3.900,150.000,0.000
3.950,150.000,8.570
4.000,150.000,42.860
4.050,150.000,68.570
4.100,150.000,81.430
4.150,150.000,90.000
4.200,150.000,102.860
4.250,150.000,107.140
4.300,150.000,111.430
4.350,150.000,115.710
4.400,0.000,102.860
4.450,0.000,85.710
4.500,0.000,60.000
4.550,0.000,51.430
4.600,0.000,30.000
4.650,0.000,21.430
4.700,0.000,4.290
4.750,0.000,0.000
4.800,0.000,0.000
4.850,0.000,0.000
4.900,0.000,0.000
4.950,150.000,34.290
5.000,150.000,60.000
5.050,150.000,77.140
5.100,150.000,90.000
5.150,150.000,94.290
5.200,150.000,102.860
5.250,150.000,107.140
5.300,150.000,115.710
5.350,150.000,115.710
5.400,150.000,120.000
5.450,150.000,120.000
5.500,0.000,111.430
5.550,0.000,94.290
5.600,0.000,72.860
5.650,0.000,60.000
5.700,0.000,38.570
5.750,0.000,30.000
5.800,0.000,12.860
5.850,0.000,4.290
5.900,0.000,0.000
5.950,0.000,0.000
6.000,0.000,0.000
6.050,150.000,30.000
6.100,150.000,60.000
6.150,150.000,77.140
6.200,150.000,90.000
6.250,150.000,98.570
6.300,150.000,107.140
6.350,150.000,107.140
6.400,150.000,115.710
6.450,150.000,120.000
6.500,150.000,120.000
6.550,150.000,124.290
6.600,0.000,111.430
6.650,0.000,94.290
6.700,0.000,77.140
6.750,0.000,55.710
6.800,0.000,42.860
6.850,0.000,25.710
6.900,0.000,17.140
6.950,0.000,4.290
7.000,0.000,0.000
7.050,0.000,0.000
7.100,0.000,0.000
7.150,150.000,30.000
7.200,150.000,60.000
7.250,150.000,77.140
7.300,150.000,90.000
7.350,150.000,98.570
7.400,150.000,107.140
7.450,150.000,111.430
7.500,150.000,115.710
7.550,150.000,120.000
7.600,150.000,124.290
7.650,150.000,120.000
7.700,0.000,115.710
7.750,0.000,90.000
7.800,0.000,72.860
7.850,0.000,55.710
7.900,0.000,38.570
7.950,0.000,25.710
8.000,0.000,8.570
8.050,0.000,0.000
8.100,0.000,0.000
8.150,0.000,0.000
8.200,0.000,0.000
8.250,150.000,30.000
8.300,150.000,60.000
8.350,150.000,77.140
8.400,150.000,90.000
8.450,150.000,98.570
8.500,150.000,107.140
8.550,150.000,111.430
8.600,150.000,115.710
8.650,150.000,120.000
8.700,150.000,124.290
8.750,150.000,124.290
8.800,0.000,115.710
8.850,0.000,94.290
8.900,0.000,77.140
8.950,0.000,64.290
9.000,0.000,42.860
9.050,0.000,21.430
9.100,0.000,12.860
9.150,0.000,0.000
9.200,0.000,0.000
9.250,0.000,0.000
9.300,0.000,0.000
9.350,150.000,30.000
9.400,150.000,64.290
9.450,150.000,77.140
9.500,150.000,90.000
9.550,150.000,98.570
9.600,150.000,107.140
9.650,150.000,111.430
9.700,150.000,115.710
9.750,150.000,120.000
9.800,150.000,124.290
9.850,150.000,124.290
9.900,0.000,115.710
9.950,0.000,94.290
10.000,0.000,77.140
10.050,0.000,60.000
10.100,0.000,38.570
10.150,0.000,30.000
10.200,0.000,17.140
10.250,0.000,0.000
10.300,0.000,4.290
10.350,0.000,0.000
10.400,0.000,0.000
10.450,150.000,30.000
10.500,150.000,60.000
10.550,150.000,77.140
10.600,150.000,90.000
10.650,150.000,98.570
10.700,150.000,107.140
10.750,150.000,111.430
10.800,150.000,111.430
10.850,150.000,120.000
10.900,150.000,120.000
10.950,150.000,124.290
11.000,0.000,111.430
11.050,0.000,94.290
11.100,0.000,77.140
11.150,0.000,60.000
11.200,0.000,42.860
11.250,0.000,25.710
11.300,0.000,17.140
11.350,0.000,4.290
11.400,0.000,0.000
11.450,0.000,0.000
11.500,0.000,0.000
11.550,150.000,30.000
11.600,150.000,60.000
11.650,150.000,77.140
11.700,150.000,90.000
11.750,150.000,98.570
11.800,150.000,102.860
11.850,150.000,115.710
11.900,150.000,115.710
11.950,150.000,115.710
12.000,150.000,124.290
12.050,150.000,124.290
12.100,0.000,115.710
12.150,0.000,94.290
12.200,0.000,77.140
12.250,0.000,60.000
12.300,0.000,42.860
12.350,0.000,25.710
12.400,0.000,17.140
12.450,0.000,4.290
12.500,0.000,0.000
12.550,0.000,0.000
12.600,0.000,0.000
12.650,150.000,34.290
12.700,150.000,55.710
12.750,150.000,77.140
12.800,150.000,90.000
12.850,150.000,102.860
12.900,150.000,107.140
12.950,150.000,107.140
13.000,150.000,115.710
13.050,150.000,120.000
13.100,150.000,120.000
13.150,150.000,124.290
13.200,0.000,111.430
13.250,0.000,98.570
13.300,0.000,77.140
13.350,0.000,60.000
13.400,0.000,47.140
13.450,0.000,30.000
13.500,0.000,17.140
13.550,0.000,4.290
13.600,0.000,0.000
13.650,0.000,0.000
13.700,0.000,0.000
13.750,150.000,30.000
13.800,150.000,64.290
13.850,150.000,77.140
13.900,150.000,94.290
13.950,150.000,102.860
14.000,150.000,107.140
14.050,150.000,115.710
14.100,150.000,120.000
14.150,150.000,120.000
14.200,150.000,128.570
14.250,150.000,124.290
14.300,0.000,120.000
14.350,0.000,102.860
14.400,0.000,81.430
14.450,0.000,64.290
14.500,0.000,51.430
14.550,0.000,34.290
14.600,0.000,21.430
14.650,0.000,12.860
14.700,0.000,0.000
14.750,0.000,0.000
14.800,0.000,0.000
14.850,150.000,34.290
14.900,150.000,60.000
14.950,150.000,77.140
15.000,150.000,94.290
15.050,150.000,102.860
15.100,150.000,107.140
15.150,150.000,115.710
15.200,150.000,120.000
15.250,150.000,124.290
15.300,150.000,124.290
15.350,150.000,128.570
15.400,0.000,120.000
15.450,0.000,102.860
15.500,0.000,81.430
15.550,0.000,68.570
15.600,0.000,51.430
15.650,0.000,38.570
15.700,0.000,21.430
15.750,0.000,8.570
15.800,0.000,4.290
15.850,0.000,0.000
15.900,0.000,0.000
15.950,150.000,30.000
16.000,150.000,60.000
16.050,150.000,81.430
16.100,150.000,90.000
16.150,150.000,102.860
16.200,150.000,111.430
16.250,150.000,111.430
16.300,150.000,120.000
16.350,150.000,124.290
16.400,150.000,124.290
16.450,150.000,128.570
16.500,0.000,120.000
16.550,0.000,98.570
16.600,0.000,81.430
16.650,0.000,68.570
16.700,0.000,47.140
16.750,0.000,30.000
16.800,0.000,21.430
16.850,0.000,4.290
16.900,0.000,0.000
16.950,0.000,0.000
17.000,0.000,0.000
17.050,150.000,30.000
17.100,150.000,60.000
17.150,150.000,81.430
17.200,150.000,90.000
17.250,150.000,102.860
17.300,150.000,111.430
17.350,150.000,115.710
17.400,150.000,115.710
17.450,150.000,124.290
17.500,150.000,128.570
17.550,150.000,128.570
17.600,0.000,120.000
17.650,0.000,98.570
17.700,0.000,85.710
17.750,0.000,68.570
17.800,0.000,51.430
17.850,0.000,38.570
17.900,0.000,21.430
17.950,0.000,12.860
18.000,0.000,0.000
18.050,0.000,0.000
18.100,0.000,0.000
18.150,150.000,30.000
18.200,150.000,64.290
18.250,150.000,77.140
18.300,150.000,94.290
18.350,150.000,102.860
18.400,150.000,107.140
18.450,150.000,115.710
18.500,150.000,120.000
18.550,150.000,124.290
18.600,150.000,124.290
18.650,150.000,128.570
18.700,0.000,115.710
18.750,0.000,102.860
18.800,0.000,81.430
18.850,0.000,64.290
18.900,0.000,47.140
18.950,0.000,34.290
19.000,0.000,17.140
19.050,0.000,4.290
19.100,0.000,0.000
19.150,0.000,0.000
19.200,0.000,0.000
19.250,150.000,34.290
19.300,150.000,60.000
19.350,150.000,77.140
19.400,150.000,90.000
19.450,150.000,98.570
19.500,150.000,111.430
19.550,150.000,111.430
19.600,150.000,120.000
19.650,150.000,120.000
19.700,150.000,128.570
19.750,150.000,124.290
19.800,0.000,120.000
19.850,0.000,98.570
19.900,0.000,81.430
19.950,0.000,64.290
